artical_text,type,model
"البشرة النضرة لا تأتي فقط من مستحضرات التجميل، بل تعتمد بشكل أساسي على العناية اليومية المنتظمة والاهتمام بالعادات الصحية. فالروتين الصحيح لا يحافظ فقط على مظهر البشرة، بل يساعد على تأخير علامات التقدم في السن، ويعزز من إشراق الوجه بشكل طبيعي.

إذا كنتِ ترغبين في الحفاظ على نضارة بشرتك، فإليكِ خطوات بسيطة يمكنكِ اتباعها يوميًا:

شرب كميات كافية من الماء:
الترطيب الداخلي هو أساس صحة البشرة، فالماء يساعد على طرد السموم من الجسم ويحافظ على مرونة الجلد. ينصح بتناول ما لا يقل عن 8 أكواب يوميًا.

تنظيف البشرة مرتين يوميًا:
استخدمي غسولًا مناسبًا لنوع بشرتك في الصباح والمساء، لتنظيف الوجه من الأتربة والزيوت والملوّثات التي تتراكم خلال اليوم.

ترطيب البشرة بعد كل غسيل:
حتى لو كانت بشرتك دهنية، فإن الترطيب أمر ضروري. اختاري مرطبًا خفيفًا يحتوي على مكونات طبيعية لتغذية الجلد.

النوم المنتظم والكافي:
النوم لعدد ساعات كافية (من 7 إلى 8 ساعات ليلاً) يمنح البشرة فرصة للتجدد الطبيعي، ويقلل من ظهور الهالات السوداء والإرهاق على الوجه.

تجنّب الإفراط في لمس الوجه:
الأيدي تنقل الكثير من البكتيريا إلى الوجه، ما قد يتسبب في انسداد المسام وظهور البثور.

استخدام واقي الشمس يوميًا:
حتى في الأيام الغائمة، أشعة الشمس تُؤثر على البشرة وتسرّع من ظهور التجاعيد والبقع الداكنة. لذا، يُعد الواقي الشمسي جزءًا أساسيًا من أي روتين عناية.

العناية بالبشرة لا تتطلب منتجات باهظة الثمن، بل تعتمد على الالتزام بالعادات الصحيحة والاستمرارية. ابدئي بخطوة واحدة، ومع الوقت ستلاحظين الفرق في إشراق وجهك وصحة بشرتك.",1,GPT4o
بيان أول نوفمبر الثوري، وهو وثيقة أساسية في الثورة الجزائرية، يوضح الأهداف السياسية والعسكرية والإعلامية، بما في ذلك إنشاء وسائل الإعلام مثل جريدة المقاومة والإذاعة السرية. كما يحدد استراتيجيات لتنفيذ الخطة الثورية، باستخدام تقنيات الاتصال مثل الدعاية والتعبئة.,1,jais
"الباستا لا تقاوم ولها العديد من العشاق حول العالم، والكبار والأطفال يحبونها،ويتم وضع أي مكونات على الباستا لتناسب جميع الأذواق، وحتى من يسير وفق لحمية خاصة يمكنه تناول باستا الشوفان الصحية والخفيفة والتي لا تحتوى على سعرات حرارية عالية.

	ويوجد العديد من الوصفات الجميلة للباستا التي يحبها الجميع، ومن أمثلة تلك الوصفات باستا الفلفل الأحمر المحمص، التي يكون لها مذاق رائع وشهى لا يقاوم، ومليئة بالنكهة الحلوة والمدخنة في نفس الوقت والتى تصلح لعشاء خفيف وسريع مميز، ولمعرفة تلك الطريقة السهلة الرائعة، يمكن متابعة التقرير التالى، وفقاً لموقع ""loveandlemons"".


باستا


	مكونات باستا الفلفل الأحمر المحمص:

	7 فلفل أحمر مشوى حوالى 2 كوب فلفل شرائح

	1 كوب من حليب لوز غير محلى

	ربع كوب من الريحان الطازجة، وجزء منها للتزيين

	6 حبات طماطم مجففة، حوالى 3 ملاعق كبيرة من الطماطم المفرومة

	3 ملاعق كبيرة من زيت الزيتون البكر

	1 ملعقة كبيرة عصير الليمون الطازج على حسب الرغبة

	2 فص ثوم مفروم

	نصف ملعقة صغيرة بابريكا مدخن

	نصف ملعقة صغيرة من ملح البحر

	350 جرام باستا 

	ربع كوب من جبن بارميزان مبشور

	صنوبر للتقديم

	رقائق من الفلفل الأحمر للتقديم


المكونات

	 

	طريقة عمل باستا الفلفل الأحمر المحمص:

	يتم وضع الفلفل الأحمر وحليب اللوز والريحان والطماطم المجففة وزيت الزيتون وعصير الليمون والثوم والفلفل الحلو والملح ويتم مزج كل تلك المكونات حتى تصبح على شكل كريمى.

	يتم وضع وعاء به ماء والقليل من الملح وغليه، ثم يتم وضع المكرونة ويتم طهيها حوالى 10 دقائق، أي حوالى من 3 إلى 5 دقائق.


ضرب المكونات

	يتم تسخين مقلاة كبيرة وعميقة على نار متوسطة ويتم إضافة الصلصة مع تقليب الباستا ويتم طهى المزيج مع تقليبه على نار خفيفة لمدة من 3 إلى 5 دقائق، حتى تثقل الصلصة، ويتم إضافة الجبن البارميزان المبشور وتقلب حتى يذوب في الصلصة، وترفع عن النار.


صلصة

	ويتم وضع الملح وعصير الليمون على حسب الرغبة وتقدم في طبق للتقديم وتزين بالريحان وجبن البارميزان والصنوبر ورقائق الفلفل الأحمر.  

	ولمن يريد الطبق حار يمكن إضافة الفلفل الحار في الوصفة

	 


طبق التقديم",0,human
وقد تكلم بعض منتحلى الحديث من أهل عصرنا فى تصحيح الأسانيد وتسقيمها بقول لو ضربنا عن حكايته وذكر فساده صفحا لكان رأيا متينا ومذهبا صحيحا إذ الإعراض عن القول المطرح أحرى لإماتته وإخمال ذكر قائله وأجدر أن لا يكون ذلك تنبيها للجهال عليه غير أنا لما تخوفنا من شرور العواقب واغترار الجهلة بمحدثات الأمور وإسراعهم إلى اعتقاد خطإ المخطئين والأقوال الساقطة عند العلماء رأينا الكشف عن فساد قوله ورد مقالته بقدر ما يليق بها من الرد أجدى على الأنام وأحمد للعاقبة إن شاء الله وزعم القائل الذى افتتحنا الكلام على الحكاية عن قوله والإخبار عن سوء رويته أن كل إسناد لحديث فيه فلان عن فلان وقد أحاط العلم بأنهما قد كانا فى عصر واحد وجائز أن يكون الحديث الذى روى الراوى عمن روى عنه قد سمعه منه وشافهه به غير أنه لا نعلم له منه سماعا ولم نجد فى شىء من الروايات أنهما التقيا قط أو تشافها بحديث - أن الحجة لا تقوم عنده بكل خبر جاء هذا المجىء حتى يكون عنده العلم - بأنهما قد اجتمعا من دهرهما مرة فصاعدا أو تشافها بالحديث بينهما أو يرد خبر فيه بيان اجتماعهما وتلاقيهما مرة من دهرهما فما فوقها. فإن لم يكن عنده علم ذلك ولم تأت رواية صحيحة تخبر أن هذا الراوى عن صاحبه قد لقيه مرة وسمع منه شيئا - لم يكن فى نقله الخبر عمن روى عنه ذلك والأمر كما وصفنا حجة وكان الخبر عنده موقوفا حتى يرد عليه سماعه منه لشىء من الحديث. قل أو كثر فى رواية مثل ما ورد.(1/22),0,human
"قد يفضل البعض زيارة الأقارب والأصدقاء بأواخر أيام عيد الأضحى، ويفكرون في اصطحاب هدية مميزة لهم حتى يختلفون عن الآخرين، ولذلك قد يشعرون بالحيرة عند التفكير في نوع الهدية التي يصطحبونها في زيارتهم، ولهذا نستعرض في التقرير، أفكار لهدايا ""مطرقعة"" يمكن إصطحابها عند زيارة أحد الأصدقاء والأقارب.

	أفكار لهدايا مطرقعة في عيد الأضحى

	بوكيه ممبار

	لا يخلو بيت في عيد الأضحى من الممبار، والذى يمكن تحضيره جيداً وحشوه بالخلطة المفضلة للصديق أو أحد الأقارب الذى ينوى الشخص زيارته، وطهى الممبار وتصفيته من الزيت ثم تحضير ورق لف هدايا جيد لتغليف الممبار بطريقة أنيقة وإهدائها للصديق أو القريب، ما يشعره بالسعادة في العيد .


بوكيه ممبار

	تورتة الفتة

	تعتبر تورتة الفتة إحدى الأبداعات التي ظهرت في الفترة الأخيرة، والتي تعتمد في تنفيذها على عدة خطوات وهى :

	المكونات

	 5 ملاعق كبيرة زيت نباتي .

	4  فصوص من الثوم المهروس .

	4  ملاعق كبيرة من الخل .

	5  أكواب من الأرز المسلوق.

	 2 كيلو لحم مسلوق ومقطّع لمكعبات.

	خبز محمص وتحديد الكمية حسب الرغبة.

	2 كوب من عصير طماطم .

	 4  أكواب من مرق لحم .

	مرقة لحمة.

	خل .

	قطع من الفلفل الألوان للتزيين.

	ملح  .

	فلفل أسود.

	خطوات تحضير تورتة فتة

- يجب تقليب الثوم المهروس فى السمن على درجة حرارة متوسطة، ثم إضافة عصير الطماطم و الخل وكذلك الملح والفلفل والصلصة .

	-إضافة الأرز المسلوق فى صينية مع التقليب حتى يصبح شكله دائرى، ثم توزيع قطع الخبز المحمر على الأرز المسلوق و تقطيع مكعبات اللحم لشرائح ، وإضافة صوص الطماطم على الأرز مع إضافة القليل من المرقة على الخبز وتزيين الصحن بشرائح الفلفل الملون وإضافته في علبة وإصطحابها للزيارة بعد ذلك.


تورتة الفتة

	فرو خروف

	يمكن تحضير فرو الخروف بعد تنظيفه والتخلص من رائحته الكريهة وتعديله لقطعة ديكور سواء على هيئة سجادة أو وسادة وإهدائها للصديق أو أحد الأقارب.


فرو خروف

	خروف قطعة ديكور

	يوجد في المحلات التجارية المختلفة المتخصصة في قطع الديكور، أشكال على هيئة خروف على هيئة صينية أو طفاية وغيرها والتي يمكن شرائها وإهدائها .


خروف قطعة ديكور",0,human
كانت رحلتي إلى جدة تجربة مميزة بكل المقاييس. فقد استمتعت بالموقع المميز للفندق وبخدمة الموظفين المتفانية. للأسف، كانت الفندق يفتقر إلى مركز أعمال، ما جعل الأمر مزعجاً بعض الشيء لأداء الأعمال الضرورية.,1,GPT-3.5-T
"الشعر الأبيض من أسباب إزعاج العديد من الفتيات، بالرغم من أن هناك أسباب كثيرة تتسبب في ظهوره والمعروف أنه يظهر بقوة في فروة الرأس لكن البعض يشتكى من ظهوره في الحاجب، لذا يستعرض"" اليوم السابع ""خلال السطور التالية أفضل طريقة لتلوين الشعر الأبيض في الحاجب وفقًا لما جاء في موقع stylecraze

	 


خطوات سهلة للتخلص من الشعر الأبيض في الحاجب

	 

	تطبيق صبغة مؤقتة:
	 

الصبغة المؤقتة من الحلول التي تقضي على الشعر الأبيض بالحاجب  ويمكن وضعها في علبة ما سكارا لكي يتم استخدام فرشاة الماسكارا لكي تلون جذور الشعر وقد يكون لها العديد من السلبيات والإيجابيات سهلة بسيطة وسريعة التحضير، تعطي مظهر جميل يمل إلى الطبيعي، أيضًا يتم غسلها بالماء .

	وضع صبغة شعر عادية:
	 

 من المعروف عن تلوين الحواجب انها يتم تلوينها بصبغة شعر عادية، لذا يمكنِ أن تصبغي حواجبك بواسطة مصفف شعر في صالون أو ببساطة يمكن أن تتطبقي هذه المرحلة لنفسك في منزلك.

	إيجابيات وسلبيات استخدام الصبغة العادية للحاجب:
	 

التطبيق صعب،  تحتاجين إلى قدر كبير من توخي الحذر أثناء تطبيقها

تعطي مظهرًا يعزز جمالك الطبيعي وتستمر لفترات طويلة تستمر أكثر من شهر 

 يمكن أن تلطخ الوجه أو تتسبب في الظهور بشكل غير لائق في حالة إذا لم تكوني محترفة

	 

	خطوات تلوين الحواجب:
	 

	الخطوة الـ 1

ابدأى بتنظيف حاجبيك بطريقة جيدة، التنظيف بدون الحاجة للغسيل  استخدمي قطعة من القطن واغمسها في الماء الفاتر، ثم قومي بمسح الحاجب، ثم جففي الحواجب والمنطقة المحيطة.


	 

	الخطوة الـ 2:

ضعي الفازلين (الفازلين هو الخيار الأمثل تمامًا) بشكل جيد على الجلد حول حاجبيك،  ويفضل أن توخى الحذر من ملامسة شعر الحاجب، أيضًا تعتبر هذه المرحلة مهمة حتى لا تتسبي في تلطيخ بشرتك أثناء العملية عند  وضع الصبغة 

	 الخطوة الـ 3
	 

ارتدِ القفازات البلاستيكية التي تستخدم لمرة واحدة قبل بدء وضع الصبغة

	الخطوة الـ 4
	 

 اقرأي التعليمات المرفقة حتي لا تخطئين أو تتركين أي مرحلة، ثم قومي بوضع الصبغة على حواجبك  بعصى الماسكارا، ثم انتظري لبعض الوقت حتى تحصلي على اللون، ثم قومي بشطفها بالماء البارد


خطوات تلوين الحواجب في المنزل",0,human
"ومن هؤلاء العلماء أبو أحمد العسكري (١) المحدث (٢٩٣ - ٣٨٢ هـ) وأبو هلال العسكري الأديب، صاحب كتاب «الصناعتين»، والأول خال الثاني وأستاذه.
وقد غلب الأدب والشعر على أبي هلال العسكري إنتاجا وتأليفا، وكتبه المنشورة بين الناس تدل على تمكنه من علوم العربية أو علوم الأدب الثمانية، وأعني بها: اللغة، والنحو، والصرف، والعروض، والقوافي، وصنعة الشعر، وأخبار العرب، وأنسابهم.
وهذه العلوم عند الأقدمين لم تكن تعني «الأدب» وإنما تعني أنها لازمة لثقافة الأديب، ولحاجة الأديب إليها في تكوينه عدوها من الأدب ..
ولا ريب في أنه بمقدار جهل الأديب بأي من هذه العلوم يكون نقصه في الأدوات التي تؤهله بتمكن لممارسة الأدب في أية صورة من صوره.",1,GPT2
"بحر المرجان، المعروف أيضًا باسم ""الشعاب المرجانية""، يقع في البحر الكاريبي وشمال شرقي أستراليا. هذا البحر هو واحد من أكبر وأجمل الأنظمة المرجانية في العالم، وهو مشهور بتضاريسه البحرية الرائعة وتنوع الكائنات البحرية الذي يضمه. تشكلت الشعاب المرجانية في بحر المرجان على مر الآلاف من السنين من خلال تراكم هياكل المرجان والمخلفات الكلسية للمرجان، وقد تم تسجيل بعض أجزاء هذا البحر ضمن قائمة التراث العالمي لليونسكو.

الشعاب المرجانية في بحر المرجان تعتبر بيئة حيوية مهمة للعديد من الكائنات البحرية، بما في ذلك الأسماك الملونة والشعب المرجانية نفسها والشعب البحرية الأخرى. إلى جانب ذلك، يعتبر بحر المرجان وجهة سياحية شهيرة حيث يقوم الغواصون وهواة الغطس بزيارته للاستمتاع بجمال الشعاب واستكشافها.

يُعد بحر المرجان موطنًا للعديد من الكائنات البحرية النادرة والمهددة بالانقراض، وهو يلعب دورًا مهمًا في الحفاظ على التنوع البيولوجي في المحيطات والبيئات البحرية. ومع ذلك، يواجه تهديدات بيئية مثل التلوث والتغير المناخي والتصيد الزائد، مما يجعل الحفاظ على هذا البحر والشعاب المرجانية ضرورة حيوية.",0,human
"أحاول تذكر شكل نور قليلًا حتى أكون قادرًا على الاستمناء. لكن ملامحها تبدو ضبابية الآن، ولا أتذكر إلا ملمسها. أسبوع واحد فقط كان كفيلًا بمحي كل شيء يتعلق بها. لهذا أطلب منها أن تزورني على وتيرة شبه يومية. لم أفلح. تبوّلت ثم عُدت إلى سريري مُجددًا. كان قرار فتح النافذة قرار فاشل، مثل كثير من القرارات التي اتخذها، والتي لا تدوم إلا لدقائق، قبل أن أفقد الحماس لأقوم بها.

بقيتُ دون أتحرك لمدة بدت طويلة. البرد قارص في هذا الشهر. لا أعرف في أي شهر من العام تحديدًا، لكن الذاكرة البيولوجية تؤكد أن هذا فصل الشتاء. استجمعت ما بقي في جسمي من طاقة لأصل إلى الموقد لأشعل نارًا تدفئ المنزل قليلًا، ولكن لم يكن هناك أي أخشاب. توجهت للمكتبة، باحثًا عن كتب لم أحرقها بعد تساعدني في تقضية هذه الليلة. هنا كتاب نيتشة إنسان مفرط في إنسانيته الجزء الأول. لقد حرقت الجزء الثاني قبلًا، حيث لا يمكن لأحدٍ أن يقرأ الجزء الثاني دون الأول، وبالتالي سأحرق الثاني وأبقي على الأول. كتاب آخر لنيتشة. أفول الأصنام. ترجمة هذا الكتاب سيئة، ولا يمكنني أن أسمح لأحدٍ ما أن يوسخ عينيه بقراءة هذا الكتاب. لكنه صغير ولن يكفي. أكمل البحث. وجدت كتاب أصل الأخلاق لنيتشة أيضًا، لم يعجبني، لكنه قد يفيدني الليلة؛ لكنه أيضًا لا يكفي. على حافة الرفّ، كانت رواية يوليسيس لجيمس جويس. هذه الرواية الذي لم أعرف أي أحدٍ قد أتمها قبلًا. الرواية في 800 صفحة، وتكفي لإقامة حفل كاملٍ. أقصد طبعًا حفل شواء. بدأت بقراءتها قبل أعوام، ولكني لم أتمكن من إتمامها أيضًا. لماذا لم أحرقها قبلًا؟ تذكرتُ بأني في كل مرة حاولت أن أحرقها أقول في نفسي، ماذا لو أبيدت كل البشرية أو انقرضت؟ أو غرقت؟ ألا تستحق الأجيال القادمة أن تتمتع بشيء من تراثها؟ أضع نفسي موضع المنقذ. هل يستحق التراث الإنساني أن يعيش؟ لماذا أوجع رأسي بكل هذه الأسئلة؟ حملت الرواية وتوجهت إلى الموقد. أضرمت النار بدءًا بأفول الأصنام. هذه أقل ما تستحقه الترجمة السيئة. أن تحرق هي ومترجمها. بدأت بإشعال الغلاف من عند اسم المترجم. ثم أتبعت ذلك بأصل الأخلاق. تشتعل النيران في الأوراق الصفراء بسرعة. وحينما أردت أن أرمي برواية جويس، استثقلت الأمر مجددًا. حتى هذا القرار لم أستطع أن أستمر فيهِ. نظرت إلى العلامة في الكتاب والتي تشير إلى أين وصلت. سأحرق ما قبل العلامة وأبقي على ما بعدها، علّي عدت يومًا ما إلى إكمالها. أمزق الورقة الأولى، فتصيبني نشوة من نوعٍ ما. مزقت الثانية ثم الثالثة. عدتُ وقتها إلى غريزة من نوع ما. أخرجت النار من الموقد ووضعها على صينية في منتصف الغرفة. خلعت كل ملابسي ولبست شباحي كحفَاضة طفل قماشية. وصرت أدور حول النار في دوائرٍ وأنا أمزق الكتاب وأرمي الورق في النار. لم أشعر بالحياة من قبل كما أشعر بها الآن. بدأت بإصدار الأصوات التي رأيت الهنود الحمر يصدرونها في أحد الأفلام الوثائقية. لم يكن هذا كافيًا. كانَ على الموقد شفرة، فسحبتها وجرجت كتفي واستخدمت الدم في رسم دوائرٍ حمراء على جسدي، وأكملت ما كنت أقوم بهِ. استغربت أن دمي ما زال أحمرًا بعد كل السجائر التي دخنتها في حياتي. همدت النار، ووصلت إلى العلامة. البرد يقرص مُجددًا. عدتُ مسرعًا تحت الغطاء.",1,GPT2
