trial_number,f1_score,f1,precision,recall,specificity,roc_auc,accuracy,loss,true_positives_tp,false_positives_fp,false_negatives_fn,true_negatives_tn,runtime_sec,samples_per_sec,threshold,encoder_lr,head_lr,label_smoothing_factor,weight_decay
0,0.9850746268656716,0.9850746268656716,0.9892933618843683,0.9808917197452229,0.9893617021276596,0.9977865112707233,0.9851222104144527,0.16893328726291656,462,5,9,465,1462.870225375,2.573023864119673,0.5,1.6354538505249462e-05,7.903132356741143e-05,0.058813607655191724,0.005610743509637098
1,0.9795037756202805,0.9795037756202805,0.9956140350877193,0.9639065817409767,0.9957446808510638,0.9954781587387631,0.9798087141339001,0.2430221438407898,454,2,17,468,2614.303367042,1.4397716988211833,0.5,1.4378011743713103e-06,4.086756403411474e-05,0.09691338317011418,0.025785197704408264
2,0.9795037756202805,0.9795037756202805,0.9956140350877193,0.9639065817409767,0.9957446808510638,0.9977187514116638,0.9798087141339001,0.28092268109321594,454,2,17,468,2675.394652375,1.4068952394214527,0.5,2.8469772134385517e-05,3.027831329974515e-05,0.13217397255202326,0.007618141311363716
3,0.9828326180257511,0.9828326180257511,0.9934924078091106,0.9723991507430998,0.9936170212765958,0.9977006821159146,0.9829968119022316,0.22831983864307404,458,3,13,467,1903.9914565,1.9768996269127956,0.5,1.907064865169271e-05,0.00041972131968474224,0.09942621958962974,0.0037979679466642706
4,0.9773462783171522,0.9773462783171522,0.993421052631579,0.9617834394904459,0.9936170212765958,0.9968469078917649,0.9776833156216791,0.2591741383075714,453,3,18,467,1681.9892704159993,2.2378264036542075,0.5,9.417182844706654e-06,7.247564266928492e-05,0.11569801985876108,0.07124287431931622
5,0.9850107066381156,0.9850107066381156,0.9935205183585313,0.9766454352441614,0.9936170212765958,0.9943397931065637,0.9851222104144527,0.34625494480133057,460,3,11,467,1550.853542541001,2.4270505865001684,0.5,1.4625609881675228e-05,0.0001245814230625432,0.1989198736634276,0.0002468808525129823
6,0.978448275862069,0.978448275862069,0.9934354485776805,0.9639065817409767,0.9936170212765958,0.9967068708497085,0.9787460148777896,0.3183417022228241,454,3,17,467,1668.072216167,2.256497029037,0.5,5.908377829781803e-06,5.1137344188883403e-05,0.16705574893842315,0.011830624581597214
7,0.9751887810140237,0.9751887810140237,0.9912280701754386,0.9596602972399151,0.9914893617021276,0.9967339747933325,0.975557917109458,0.34720006585121155,452,4,19,466,2381.647448915999,1.580418630689095,0.5,1.0290375963913572e-06,0.0008553775511446324,0.19029106932277945,0.04055775297656367
8,0.9795918367346939,0.9795918367346939,0.991304347826087,0.9681528662420382,0.9914893617021276,0.9960292722591138,0.9798087141339001,0.31180304288864136,456,4,15,466,2918.7578253750016,1.2895896902705184,0.5,1.4840774876658487e-06,0.0001935234571816277,0.15714164624283397,2.0506777345606697e-05
9,0.980561555075594,0.980561555075594,0.9978021978021978,0.9639065817409767,0.997872340425532,0.9983060035235125,0.9808714133900106,0.2400851994752884,454,1,17,469,2749.6451300830013,1.3689039210257576,0.5,2.718587585240746e-05,0.00048749263132371327,0.1044284854172643,0.006797611969582518
10,0.9569060773480663,,,,,,,,,,,,,,,7.721063722664833e-06,1.568567380062534e-05,0.008418533688910594,0.006526297809281001
11,0.9074074074074074,,,,,,,,,,,,,,,2.8997799517871176e-05,0.0002776878829809967,0.17303797496914772,0.00019903491014171683
12,0.9728555917480999,,,,,,,,,,,,,,,5.521765944665327e-06,4.011323277150132e-05,0.15909152459091508,0.00026451471094383205
13,0.9626373626373627,,,,,,,,,,,,,,,3.959514529697053e-05,7.475999198724577e-05,0.011549809479628345,0.003622532271123252
14,0.960352422907489,,,,,,,,,,,,,,,8.152595537520857e-06,0.00011175950512980287,0.06799858365842162,0.0004100831074465396
15,0.9614961496149615,,,,,,,,,,,,,,,2.433979093857495e-05,2.5751616692576597e-05,0.1784425950372721,0.0001540381361643654
16,0.9828326180257511,0.9828326180257511,0.9934924078091106,0.9723991507430998,0.9936170212765958,0.9974160907078647,0.9829968119022316,0.3090018033981323,458,3,13,467,2374.063352166999,1.5854673787724722,0.5,6.116317260750278e-06,0.0005937652451667016,0.1654767747320285,0.0017870273865900337
17,0.9023255813953488,,,,,,,,,,,,,,,4.310370724299613e-05,0.0001507938775845081,0.09804678294422813,1.3464013279996193e-05
18,0.9545957918050941,,,,,,,,,,,,,,,1.4698288251118621e-05,0.00015303301828992633,0.03058098107766355,0.061934578101255314
19,0.9637760702524698,,,,,,,,,,,,,,,9.908540215761092e-06,0.00010357898770993469,0.19927630966477394,0.0013170058562117382
20,0.9673202614379085,,,,,,,,,,,,,,,8.335359726750585e-06,1.536053423516302e-05,0.09273948706323554,0.00801714671872326
21,0.962800875273523,,,,,,,,,,,,,,,1.4550854726350201e-05,0.0006817471910194116,0.023259519637662512,0.0022977663284773553
22,0.9605263157894737,,,,,,,,,,,,,,,3.380079123653648e-05,0.00020180028594442702,0.1648850315478785,0.015618271133212316
23,0.9828326180257511,0.9828326180257511,0.9934924078091106,0.9723991507430998,0.9936170212765958,0.9972625016939966,0.9829968119022316,0.23450511693954468,458,3,13,467,2720.5500712909998,1.3835437324679878,0.5,6.302135438096674e-06,0.0006382175124603148,0.1037484859245454,0.08315247501402774
24,0.966120218579235,,,,,,,,,,,,,,,1.0203984701144879e-05,0.00023969146370751037,0.1690128304639707,2.3386247453606948e-05
25,0.98068669527897,0.98068669527897,0.9913232104121475,0.970276008492569,0.9914893617021276,0.9978136152143471,0.9808714133900106,0.19961918890476227,457,4,14,466,2284.080478667005,1.6479279233613868,0.5,2.7806574589716896e-05,7.13670859879648e-05,0.07222991171450545,0.0010577252398449263
26,0.9524861878453039,,,,,,,,,,,,,,,1.2543586975326878e-06,0.0009958695084987912,0.016123956330763828,5.126869443594872e-05
27,0.9850107066381156,0.9850107066381156,0.9935205183585313,0.9766454352441614,0.9936170212765958,0.9974296426796766,0.9851222104144527,0.24233396351337433,460,3,11,467,1552.9398687499997,2.4237899198439266,0.5,7.154577738491388e-06,0.0009409250300872298,0.10899240597588729,0.00013979902129119986
28,0.9850107066381156,0.9850107066381156,0.9935205183585313,0.9766454352441614,0.9936170212765958,0.9967091295116773,0.9851222104144527,0.2322121560573578,460,3,11,467,2056.471962124997,1.830319143330589,0.5,9.510447156576225e-06,0.0004869997892456237,0.10372296221311912,3.200521915134041e-05
29,0.9817400644468314,0.9817400644468314,0.9934782608695653,0.970276008492569,0.9936170212765958,0.9968830464832633,0.9819341126461212,0.28964871168136597,457,3,14,467,2953.910552124995,1.2742430529225877,0.5,2.630628875780765e-06,0.0009335011629735976,0.14270233616984945,0.00014733822982731983
30,0.9839228295819936,0.9839228295819936,0.9935064935064936,0.9745222929936306,0.9936170212765958,0.9969417716944482,0.9840595111583422,0.25275102257728577,459,3,12,467,2321.1521711669993,1.6216084609858146,0.5,6.134762954071473e-06,0.000796679667846274,0.11459615448817813,0.0011251756583036973
31,0.9694323144104804,,,,,,,,,,,,,,,9.953696353075974e-06,0.0006788696983830012,0.08844331862319856,4.983359046708526e-05
32,0.9751351351351352,,,,,,,,,,,,,,,7.138089607056884e-06,0.00025189676510570534,0.1112890672719256,1.0448438224629223e-05
33,0.9573770491803278,,,,,,,,,,,,,,,1.0251087805819987e-06,3.397933365085417e-05,0.021459638548368964,9.094457372092446e-05
34,0.987152034261242,0.987152034261242,0.9956803455723542,0.9787685774946921,0.9957446808510638,0.9975741970456702,0.9872476089266737,0.2706899344921112,461,2,10,468,1591.1808511249983,2.365538774136688,0.5,1.0746245287657288e-05,0.0009251691681575137,0.13541850795717328,1.2443590483177778e-05
35,0.9871244635193133,0.9871244635193133,0.9978308026030369,0.9766454352441614,0.997872340425532,0.9974251253557392,0.9872476089266737,0.29463744163513184,460,1,11,469,2621.5336157499987,1.4358007760747906,0.5,1.1519218783327798e-05,0.0006629127585557216,0.15758943356496039,1.8223876118460513e-05
36,0.9762419006479481,,,,,,,,,,,,,,,1.2642256629493569e-05,0.0008058637483373249,0.15278720175070773,3.068653297766454e-05
37,0.986096256684492,0.986096256684492,0.9935344827586207,0.9787685774946921,0.9936170212765958,0.9976284049329178,0.9861849096705633,0.3383193612098694,461,3,10,467,2766.628615499998,1.3605006392662329,0.5,7.896176421021359e-06,0.0006670801436271474,0.19296998104634208,1.7913217448834898e-05
38,0.9614961496149615,,,,,,,,,,,,,,,1.2289396633785928e-05,0.0006894672248155012,0.18624767339687184,3.2118030211184946e-05
39,0.967391304347826,,,,,,,,,,,,,,,1.5472948965451992e-06,0.0009459747377945813,0.18972228200868713,1.2188607938205222e-05
40,0.9817400644468314,0.9817400644468314,0.9934782608695653,0.970276008492569,0.9936170212765958,0.9951800153589012,0.9819341126461212,0.3406843841075897,457,3,14,467,1577.8529811660046,2.3855200991023082,0.5,5.656720451996568e-06,0.0005249617549462957,0.1876017360580587,2.2121029484235834e-05
41,0.9683060109289617,,,,,,,,,,,,,,,8.126396622801637e-06,6.958548512646047e-05,0.05619496410214228,0.007414387791979708
42,0.9727965179542981,,,,,,,,,,,,,,,1.0567928212797037e-05,0.00016437310292380817,0.19855701788914357,8.627393164882278e-05
43,0.9718004338394793,,,,,,,,,,,,,,,1.2504464452041237e-05,0.0008101439287444561,0.13221003150826974,1.0489373645093753e-05
44,0.9661941112322792,,,,,,,,,,,,,,,2.0744645239497198e-05,7.592886868651032e-05,0.07957534246871459,0.02423441102381383
45,0.9850107066381156,0.9850107066381156,0.9935205183585313,0.9766454352441614,0.9936170212765958,0.9974160907078646,0.9851222104144527,0.3436523973941803,460,3,11,467,2843.6060566249944,1.323671396475853,0.5,5.954067420369191e-06,0.0009795789634905855,0.19785703460492685,1.8570976704151188e-05
46,0.9672489082969432,,,,,,,,,,,,,,,1.7331650341897763e-05,2.1609916959025853e-05,0.02176040998623647,0.00015721469383070722
47,0.9683060109289617,,,,,,,,,,,,,,,3.650227416479741e-05,0.0006983297601616718,0.14990160246515882,2.4728436079895777e-05
48,0.9743589743589743,,,,,,,,,,,,,,,3.579340434567494e-06,1.0778515852367986e-05,0.17484943040865342,0.0021373970961195217
49,0.9545957918050941,,,,,,,,,,,,,,,2.294460968471119e-05,7.120925351692894e-05,0.18243417030460551,0.00024773037408402546
