trial_number,f1_score,f1,precision,recall,specificity,roc_auc,accuracy,loss,true_positives_tp,false_positives_fp,false_negatives_fn,true_negatives_tn,runtime_sec,samples_per_sec,threshold,encoder_lr,head_lr,label_smoothing_factor,weight_decay
0,0.9794594594594594,0.9794594594594594,0.9977973568281938,0.9617834394904459,0.997872340425532,0.9979175136649049,0.9798087141339001,0.3237745761871338,453,1,18,469,1798.0893029160002,2.0933331808914275,0.5,3.0097825239821543e-05,2.4610348483020337e-05,0.16947682370340864,1.1614570442292086e-05
1,0.978448275862069,0.978448275862069,0.9934354485776805,0.9639065817409767,0.9936170212765958,0.9970727740886298,0.9787460148777896,0.1903531402349472,454,3,17,467,2158.349019667,1.743925549437193,0.5,6.584115382765173e-06,6.155444565646127e-05,0.06888340451606385,0.0034451461815149273
2,0.978494623655914,0.978494623655914,0.9912854030501089,0.9660297239915074,0.9914893617021276,0.9959524777521795,0.9787460148777896,0.133877694606781,455,4,16,466,1859.2609443330002,2.0244603165965573,0.5,1.3031799304910319e-06,0.00021994414294049879,0.02588324620495963,0.0002889390405822175
3,0.9795037756202805,0.9795037756202805,0.9956140350877193,0.9639065817409767,0.9957446808510638,0.9964132447937841,0.9798087141339001,0.27732670307159424,454,2,17,468,2041.4236918340002,1.8438112651756529,0.5,1.3707132100968816e-05,9.177387683918639e-05,0.12983741953816513,0.0004410025538086537
4,0.9783549783549783,0.9783549783549783,0.9977924944812362,0.9596602972399151,0.997872340425532,0.9979626869042779,0.9787460148777896,0.34955042600631714,452,1,19,469,2754.8202597090003,1.3663323357428778,0.5,1.7087792159846123e-05,2.3633694468508998e-05,0.19472439724805224,0.013499173623920323
5,0.9828693790149893,0.9828693790149893,0.9913606911447084,0.9745222929936306,0.9914893617021276,0.997090843384379,0.9829968119022316,0.08654516190290451,459,4,12,466,1655.1223845000004,2.274152071924926,0.5,3.161749582043766e-05,0.0001604039416541093,0.012506244748435492,0.00015104275908742125
6,0.9773462783171522,0.9773462783171522,0.993421052631579,0.9617834394904459,0.9936170212765958,0.997316709581244,0.9776833156216791,0.28157827258110046,453,3,18,467,2659.696376625001,1.4151991306527612,0.5,3.7199626827534865e-06,1.3045434023818472e-05,0.12921299773335124,0.0011372702858569973
7,0.978448275862069,0.978448275862069,0.9934354485776805,0.9639065817409767,0.9936170212765958,0.9974025387360527,0.9787460148777896,0.11913064122200012,454,3,17,467,1756.6476118339979,2.1427177395415464,0.5,8.47737969810596e-06,6.950195933718526e-05,0.015974120593693943,0.0005605028863942073
8,0.9860365198711063,0.9860365198711063,0.9978260869565218,0.9745222929936306,0.997872340425532,0.9941862040926955,0.9861849096705633,0.1994084119796753,459,1,12,469,1785.2896076669967,2.1083414051341323,0.5,1.076095401873833e-05,0.0004991570359777565,0.07924213808603903,0.05918980022449318
9,0.9795037756202805,0.9795037756202805,0.9956140350877193,0.9639065817409767,0.9957446808510638,0.9970501874689435,0.9798087141339001,0.13247667253017426,454,2,17,468,2335.342880875003,1.6117547580806248,0.5,3.3813462132282474e-06,4.782974377623499e-05,0.02469385491222629,3.056069864302922e-05
10,0.9817400644468314,0.9817400644468314,0.9934782608695653,0.970276008492569,0.9936170212765958,0.9959298911324932,0.9819341126461212,0.20570728182792664,457,3,14,467,2223.5283952089994,1.6928050067227518,0.5,4.624644405914441e-06,0.0004060631074388911,0.07995828228591342,0.09648300431872564
11,0.9440715883668904,,,,,,,,,,,,,,,4.67497864908707e-05,0.0005274364470664754,0.0003024624528279035,0.0001867294995084638
12,0.9816612729234089,0.9816612729234089,0.9978070175438597,0.9660297239915074,0.997872340425532,0.9973664001445544,0.9819341126461212,0.0876820757985115,455,1,16,469,1824.3583918330005,2.0631911015127735,0.5,1.236587986531238e-05,0.0009744861005270516,0.0007665617095074656,0.008445323742657823
13,0.9746835443037974,,,,,,,,,,,,,,,2.9914044652202178e-05,1.2595700092087473e-05,0.028200913265662292,2.3669194220151948e-05
14,0.9817400644468314,0.9817400644468314,0.9934782608695653,0.970276008492569,0.9936170212765958,0.9959524777521797,0.9819341126461212,0.27513331174850464,457,3,14,467,2436.365622041998,1.544924113994544,0.5,2.6791124381428356e-05,0.0006400205248316645,0.1306616942338429,0.028808263251960464
15,0.9717391304347827,,,,,,,,,,,,,,,4.888166306026351e-05,9.33235882883934e-05,0.07183625326602398,0.00027399555067017853
16,0.9687836383207751,,,,,,,,,,,,,,,2.4501308518258207e-05,2.7077141779576437e-05,0.00637949637767328,0.03759884418009562
17,0.9522752497225305,,,,,,,,,,,,,,,3.253830623971774e-05,0.00037573237812021465,0.046779959854410254,0.046827879332616014
18,0.9827956989247312,0.9827956989247312,0.9956427015250545,0.970276008492569,0.9957446808510638,0.9973754347924291,0.9829968119022316,0.083798348903656,457,2,14,468,2118.0507588750006,1.7771056638884533,0.5,9.292216297805706e-06,0.00036587273836207926,0.000622561586536485,8.642036328199177e-05
19,0.9783549783549783,0.9783549783549783,0.9977924944812362,0.9596602972399151,0.997872340425532,0.9963816235262231,0.9787460148777896,0.21905329823493958,452,1,19,469,1941.7577267499983,1.9384498633101697,0.5,1.8201877371884306e-05,0.00044042222347955793,0.08278318692215691,6.522496739812813e-05
20,0.9522752497225305,,,,,,,,,,,,,,,3.9736781252619354e-05,0.00010180591237666373,0.00419450087334867,5.130252242132037e-05
21,0.9751351351351352,,,,,,,,,,,,,,,1.3315692447459978e-05,0.00040548551333406403,0.030993776218121168,2.1969016073996537e-05
22,0.9806451612903225,0.9806451612903225,0.9934640522875817,0.9681528662420382,0.9936170212765958,0.9963319329629128,0.9808714133900106,0.14091861248016357,456,3,15,467,2021.161004667003,1.8622959731108304,0.5,4.64363259410606e-06,0.0006058967270216655,0.03288767481450104,0.0002069281111197764
23,0.9762931034482759,,,,,,,,,,,,,,,8.563524825581314e-06,0.0007122024570584021,0.11483176224917509,0.0042417674267897915
24,0.9673202614379085,,,,,,,,,,,,,,,1.2739350310472502e-06,0.00010436273738062603,0.16333899342273084,0.0001756185227568985
25,0.9719222462203023,,,,,,,,,,,,,,,1.5741845981380138e-06,0.0007578772997738174,0.19852969395378497,0.014111906944822023
26,0.9661941112322792,,,,,,,,,,,,,,,1.5540173404487194e-05,8.34751355989866e-05,0.11491725278080211,0.04156878561099541
